5.27437432,-0.29986877
5.15072918,-0.76597678
4.65654284,0.37327358
3.75140617,2.06309049
2.62590897,2.58179843
1.45653263,4.00309029
0.37427496,4.17670822
-0.48538111,5.37715541
-1.05568114,6.0977572
-1.3665349,5.54125367
-1.49952764,5.10771266
-1.51985789,4.8837511
-1.48821382,4.33963866
-1.41128514,4.64782255
-1.35788347,3.55779577
-1.30670879,3.93273561
-1.27676408,3.61097667
-1.20105964,3.64424887
-1.10120912,2.76429182
-1.06074367,2.66624251
-0.89336366,1.66212744
-0.83885972,1.27452377
-0.6018603,0.40941091
-0.42593271,-0.64190932
-0.08414638,-1.41574989
0.2736535,-2.14409674
0.67529016,-2.8157704
1.03452487,-3.67276175
1.30905418,-4.37860347
1.63922471,-5.39319085
2.01981232,-5.70931113
2.40947926,-6.46052308
2.77369908,-6.61615573
3.11551646,-7.1229117
3.42746672,-7.76658893
3.7204328,-8.31153931
3.99487683,-8.89202376
4.31459135,-9.89234823
4.64338385,-10.39668295
5.03943027,-11.34227446
5.49813284,-11.89850683
5.95579523,-12.85670506
6.42481047,-13.64490147
6.90527704,-14.46214571
7.31541136,-15.4768002
7.73818925,-16.78999031
8.02196911,-17.6081256
8.36620702,-19.54149688
8.60286532,-20.22281743
8.86029466,-21.7727369
9.17503325,-23.05238028
9.47864434,-24.2093487
9.75110852,-25.47658774
9.98595649,-26.57329434
10.18921214,-27.71876968
10.36891828,-28.55187513
10.53860248,-29.4805078
10.6990191,-30.70188543
10.92822167,-31.83015723
11.16820479,-32.41729773
11.4331808,-33.72364153
11.74006843,-34.25086384
12.04414701,-35.45915299
12.38811028,-36.18315939
12.7762011,-37.23815853
13.1533175,-38.09899526
13.56673703,-39.27274521
14.00317015,-40.16522947
14.47403591,-41.69841888
14.98944929,-42.62317767
15.52789337,-44.03806856
16.0489143,-45.24901352
16.60816068,-47.00417437
17.10491191,-48.42532695
17.6038948,-49.65349801
18.129826,-51.70567992
18.63263287,-53.20111502
19.17014463,-54.83263739
19.67399094,-57.0105306
20.23395949,-58.48358659
20.76699012,-60.44464012
21.2645278,-61.61241097
21.66387666,-63.73564264
22.08093042,-64.72629359
22.41039527,-65.76177982
22.72403287,-67.20731368
23.02852265,-68.84867378
23.32613332,-70.09504274
23.5920304,-70.98193065
23.89003384,-72.27289735
24.15668549,-72.65491436
24.40257436,-73.19048699
24.58446999,-72.88345035
24.68751245,-72.28573893
24.70954051,-71.46057706
24.6139777,-69.68518683
24.48900951,-67.65991537
24.28751437,-65.23132607
24.01134149,-62.07452813
23.62969884,-58.59527211
23.16819594,-54.47464063
22.5989928,-50.2979723
21.91964524,-45.27258068
21.14699724,-41.33595379
20.2736164,-36.56624426
19.26076541,-32.22615749
18.09734547,-28.01783408
16.81634119,-24.08032433
15.35848886,-19.64457929
13.82740832,-15.6629285
12.17497928,-11.92715112
10.30606057,-8.27071723
8.52323858,-5.72589461
6.725752,-2.87868656
4.92051123,-1.42232748
3.07323505,0.2936741
1.28602156,1.7440693
-0.18377395,1.66367006
-0.96670494,1.87988263
-1.00746167,1.70163608
-0.50849491,1.2305304
0.1283139,0.77424215
0.78953121,0.57556396
1.41769805,0.62894225
2.14115564,0.75317251
2.96511418,0.80064374
3.83539509,0.76500841
4.69046909,0.72163939
5.49763607,0.71940383
6.22589802,0.73857669
6.86395907,0.73266965
7.39193355,0.69756987
7.76972439,0.6858385
7.93053689,0.74171773
7.9880495,0.84253388
7.99211572,0.9244542
7.96100208,0.94632936
7.84925111,0.91619273
7.64303765,0.87618316
7.33149895,0.87248689
6.93373357,0.92576463
6.48022688,1.01780401
6.06811109,1.10496356
5.72281233,1.14245214
5.42060051,1.1034543
5.37070876,1.00565448
5.30513052,0.91506008
5.21896784,0.8919998
5.10060148,0.93638556
4.97250112,0.99869347
4.8881175,1.03254404
4.8095199,1.02866415
4.73400354,1.00701666
4.59854947,0.9873689
4.52769514,0.97381548
4.42229036,0.95467181
4.37357881,0.91792727
4.23803455,0.86637477
4.0669473,0.81158163
3.81599748,0.76760555
3.5113162,0.74017135
3.19182409,0.72365871
2.89222121,0.69656505
2.62699803,0.64440888
2.40760801,0.56992472
2.24857965,0.488814
2.14121289,0.41921932
2.07717535,0.37285016
2.09603808,0.35157686
2.17843839,0.34784712
2.32029912,0.35267116
2.52718563,0.37733627
2.81479727,0.46052757
3.17555339,0.61788719
3.60910108,0.78397611
4.13906928,0.86135019
4.5243089,0.84129926
4.58924887,0.80732804
4.37004459,0.8087307
