loss,val_loss
189.66802978515625,247.30609130859375
167.95306396484375,195.56214904785156
152.00486755371094,171.07630920410156
140.31776428222656,155.30955505371094
131.85275268554688,142.208984375
124.42373657226562,132.36599731445312
118.1653823852539,123.56926727294922
112.31361389160156,120.71910858154297
106.1710433959961,109.88529205322266
101.51412200927734,102.82007598876953
97.48106384277344,97.8935546875
92.39395141601562,89.06792449951172
88.6796646118164,84.13597869873047
84.59378814697266,86.60784149169922
79.86022186279297,78.7979507446289
75.99353790283203,63.13721466064453
72.36014556884766,54.6751823425293
67.78451538085938,55.749717712402344
65.84027862548828,47.127811431884766
62.371673583984375,48.61754608154297
59.082454681396484,42.41135025024414
56.58711624145508,45.78229904174805
52.68184280395508,43.8294792175293
49.68144607543945,43.853763580322266
47.33181381225586,46.53992462158203
44.71303176879883,41.54389572143555
42.8254280090332,45.798736572265625
40.107913970947266,44.6177864074707
38.04235076904297,41.239986419677734
35.49686050415039,45.74872970581055
32.84965133666992,44.47538757324219
31.860002517700195,40.69883346557617
30.167587280273438,38.49137878417969
29.732221603393555,42.59907531738281
28.49500846862793,37.94749069213867
27.701875686645508,41.50236129760742
24.882888793945312,49.428714752197266
24.22238540649414,47.81413269042969
23.475221633911133,104.4061279296875
21.944578170776367,76.2251968383789
20.098237991333008,57.64645004272461
20.242393493652344,55.03232955932617
19.053316116333008,71.87519073486328
18.04975128173828,65.30917358398438
17.901884078979492,45.46417236328125
16.703218460083008,68.6936264038086
16.137264251708984,56.56024169921875
15.724224090576172,79.99958038330078
15.029505729675293,82.29429626464844
14.016471862792969,50.316165924072266
14.226966857910156,53.29228210449219
13.760347366333008,147.92552185058594
13.349250793457031,77.45780181884766
13.525444030761719,150.4526824951172
12.321877479553223,89.08936309814453
