loss,val_loss
170.29383850097656,75506.5859375
105.57901763916016,15714.40234375
82.9150390625,1908.7958984375
65.17922973632812,630.4848022460938
51.7774658203125,251.65744018554688
44.49417495727539,75.82544708251953
40.61954116821289,61.30474853515625
37.58757781982422,50.001564025878906
36.24044418334961,42.678924560546875
32.87086868286133,42.10936737060547
32.4862174987793,47.71868896484375
30.443035125732422,40.81437301635742
28.998504638671875,41.41921615600586
27.964923858642578,48.46152877807617
26.539270401000977,46.31214904785156
25.066160202026367,41.234954833984375
24.52892303466797,41.83534622192383
23.624483108520508,51.34693145751953
23.197036743164062,41.95326614379883
22.234268188476562,46.35837936401367
22.049806594848633,75.7086181640625
21.72873878479004,66.72473907470703
20.661348342895508,52.89052963256836
20.74656105041504,38.31082534790039
20.808015823364258,41.893287658691406
21.318571090698242,40.7005729675293
21.050065994262695,67.23344421386719
21.09736442565918,136.5321807861328
20.8258056640625,159.3826446533203
20.473421096801758,77.66338348388672
19.84783363342285,1179.9473876953125
19.613262176513672,1843.37548828125
19.661853790283203,53.8053092956543
19.837902069091797,240.78953552246094
19.64795684814453,3852.017578125
19.4722957611084,32984.9296875
19.664085388183594,5672.41943359375
20.019350051879883,1319.287841796875
19.6530704498291,786.494384765625
19.181058883666992,326.2694396972656
18.926258087158203,1020.27294921875
18.827411651611328,2881.164794921875
18.963600158691406,19444.021484375
19.550931930541992,933.0633544921875
